"participant_id","age","gender","ethnicity","transfer","international","us_born","parent_ed_1","parent_ed_2","major_sem_1","major_sem_2","major_sem_3","major_sem_4","gpa_sem_1","gpa_sem_2","gpa_sem_3","gpa_sem_4"
1,18,"Male","White",1,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",2.68,2.09,NA,NA
2,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Chemical Engineering","Chemical Engineering",3.64,3.84,2.08,2.14
3,18,"Male","Hispanic/Latine",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Chemical Engineering","Chemical Engineering",3.62,3.62,3.76,3.72
4,19,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","High school diploma",NA,"Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.81,2.07,2.7,3.36
5,19,"Male","Black/African American",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.64,3.38,3.96,NA
6,19,"Male","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.03,3.46,3.37,2.89
7,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biology","Biology","Biology",2.8,3.82,2.05,3.55
8,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.15,3.32,3.85,3.22
9,19,"Nonbinary","White",1,0,1,"No school","High school diploma","Computer Science","Computer Science","Chemical Engineering",NA,2.08,2.47,3.79,3.92
10,20,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Computer Science",NA,"Computer Science",3.6,3.73,NA,3.74
11,20,"Female","White",1,0,1,"Master's degree","Master's degree","Computer Science",NA,"Computer Science","Computer Science",3.02,3.2,3.65,2.37
12,22,"Female","Asian/Pacific Islander",1,0,1,"Some high school","Elementary school","Biology","Biology","Chemical Engineering","Chemical Engineering",2.55,2.49,NA,NA
13,19,"Female","White",1,0,1,"Master's degree","High school diploma","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.63,2.72,2.34,2.73
14,18,"Female","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.18,3.44,2.18,3.21
15,19,"Female","White",1,1,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biology","Biology","Biology",2.73,3.17,2.75,NA
16,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering",NA,NA,3.13,2.98,3.32,2.89
17,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biology",NA,"Biology","Biology",2.46,3.75,3.7,2.73
18,20,"Female","Asian/Pacific Islander",0,1,1,"High school diploma","High school diploma","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.71,3.98,3.44,2.69
19,19,"Male","White",1,0,1,"Middle school/Junior high","High school diploma","Mechanical Engineering","Biology","Biology","Biology",3.55,3.09,2.97,2.77
20,18,"Male","White",0,0,0,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.32,3.1,3.53,3.12
21,19,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,2.96,2.63,2.86,2.24
22,18,"Male","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,3.11,3.27,2.14,3.13
23,18,"Male","Multiracial",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Chemical Engineering",2.57,3.11,3.6,2.48
24,22,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.06,2.78,2.83,2.23
25,18,"Male","Hispanic/Latine",0,0,1,"Bachelor's degree (4 year degree)","Master's degree","Biology","Biology","Biology","Biology",2.68,3.99,3.25,3.21
